gene,observed_count,null_total_count,null_mean_count_per_perm
PRCC,0,36,0.072
PRAP1,0,25,0.05
PPP1CA,0,40,0.08
PRB1,0,54,0.108
PRB3,0,81,0.162
PRB4,0,53,0.106
PPP1R3F,0,147,0.294
PRC1,0,109,0.218
PPP2R5E,0,23,0.046
PPP1R12A,0,17,0.034
PROC,0,65,0.13
PRICKLE4,0,59,0.118
PRIM1,0,22,0.044
PSCA,0,58,0.116
PSD,0,132,0.264
PSD2,0,51,0.102
PSD3,0,69,0.138
PSD4,0,61,0.122
PSEN1,0,38,0.076
PSEN2,0,120,0.24
PSENEN,0,99,0.198
PSG1,0,46,0.092
PSG11,0,93,0.186
PSG2,0,131,0.262
PSG3,0,105,0.21
PSG4,0,62,0.124
PSG5,0,69,0.138
PSG6,0,72,0.144
PSG7,0,31,0.062
PSG9,0,132,0.264
PSIP1,0,11,0.022
PSKH1,0,87,0.174
PSMA1,0,14,0.028
PSMA2,0,25,0.05
PSMA3,0,24,0.048
PSMA4,0,21,0.042
PSMA5,0,34,0.068
PSMA7,0,28,0.056
PSMA8,0,88,0.176
PSMB1,0,25,0.05
PSMB10,0,75,0.15
PSMB2,0,73,0.146
PSAT1,0,105,0.21
PSAPL1,0,96,0.192
PSAP,0,132,0.264
PRSS35,0,113,0.226
PRRX1,0,57,0.114
PRRX2,0,38,0.076
PRSS1,0,105,0.21
PRSS12,0,77,0.154
PRSS16,0,104,0.208
PRSS2,0,57,0.114
PRSS21,0,47,0.094
PRSS22,0,65,0.13
PRSS23,0,142,0.284
PRSS27,0,47,0.094
PRSS3,0,19,0.038
PRSS30P,0,33,0.066
PRSS33,0,36,0.072
PRSS36,0,29,0.058
PRX,0,32,0.064
PRSS37,0,38,0.076
PRSS3P2,0,25,0.05
PRSS50,0,198,0.396
PRSS53,0,38,0.076
PRSS54,0,224,0.448
PRSS55,0,31,0.062
PRSS58,0,99,0.198
PRSS8,0,42,0.084
PRTFDC1,0,131,0.262
PRTG,0,31,0.062
PRTN3,0,26,0.052
PRUNE,0,51,0.102
PRUNE2,0,119,0.238
PSMB3,0,64,0.128
PSMB4,0,43,0.086
PSMB5,0,93,0.186
PTBP3,0,36,0.072
PSORS1C2,0,60,0.12
PSORS1C3,0,78,0.156
PSPC1,0,20,0.04
PSPH,0,89,0.178
PSPN,0,92,0.184
PSRC1,0,38,0.076
PSTK,0,101,0.202
PSTPIP1,0,79,0.158
PSTPIP2,0,50,0.1
PTAFR,0,80,0.16
PTAR1,0,1,0.002
PTBP1,0,32,0.064
PTBP2,0,13,0.026
PTCD2,0,38,0.076
PSMG4,0,45,0.09
PTCD3,0,15,0.03
PTCH1,0,114,0.228
PTCH2,0,123,0.246
PTCHD1,0,59,0.118
PTCHD2,0,57,0.114
PTCHD4,0,168,0.336
PTCRA,0,50,0.1
PTDSS1,0,42,0.084
PTDSS2,0,38,0.076
PTEN,0,67,0.134
PTER,0,36,0.072
PTGDR,0,173,0.346
PTGDR2,0,43,0.086
PSORS1C1,0,37,0.074
PSMG3,0,111,0.222
PSMB6,0,63,0.126
PSMD12,0,14,0.028
PSMB7,0,23,0.046
PSMB8,0,42,0.084
PSMB9,0,91,0.182
PSMC1,0,64,0.128
PSMC2,0,18,0.036
PSMC3,0,38,0.076
PSMC3IP,0,103,0.206
PSMC4,0,60,0.12
PSMC5,0,28,0.056
PSMC6,0,37,0.074
PSMD1,0,9,0.018
PSMD10,0,31,0.062
PSMD11,0,28,0.056
PSMD13,0,12,0.024
PSMG2,0,40,0.08
PSMD14,0,10,0.02
PSMD2,0,31,0.062
PSMD3,0,60,0.12
PSMD4,0,43,0.086
PSMD5,0,11,0.022
PSMD6,0,28,0.056
PSMD7,0,8,0.016
PSMD8,0,51,0.102
PSMD9,0,67,0.134
PSME1,0,40,0.08
PSME3,0,38,0.076
PSME4,0,14,0.028
PSMG1,0,38,0.076
PRRT3,0,97,0.194
PRRT2,0,26,0.052
PRRG4,0,88,0.176
PRM3,0,82,0.164
PRKG1,0,79,0.158
PRKG2,0,154,0.308
PRKRA,0,50,0.1
PRKRIR,0,15,0.03
PRKX,0,28,0.056
PRKXP1,0,84,0.168
PRKY,0,83,0.166
PRL,0,69,0.138
PRLH,0,20,0.04
PRLHR,0,86,0.172
PRLR,0,123,0.246
PRM1,0,101,0.202
PRM2,0,55,0.11
PRMT1,0,105,0.21
PRKD3,0,24,0.048
PRMT2,0,28,0.056
PRMT3,0,14,0.028
PRMT5,0,19,0.038
PRMT6,0,67,0.134
PRMT7,0,57,0.114
PRMT8,0,33,0.066
PRMT9,0,8,0.016
PRND,0,13,0.026
PRNP,0,33,0.066
PRNT,0,101,0.202
PRO2012,0,74,0.148
PRO2949,0,192,0.384
PRO2964,0,116,0.232
PRKDC,0,39,0.078
PRKD2,0,58,0.116
PROCA1,0,78,0.156
PRKAR1A,0,90,0.18
PRIM2,0,16,0.032
PRIMA1,0,116,0.232
PRIMPOL,0,11,0.022
PRKAA1,0,14,0.028
PRKAA2,0,140,0.28
PRKAB1,0,39,0.078
PRKAB2,0,18,0.036
PRKACA,0,87,0.174
PRKACB,0,33,0.066
PRKACG,0,64,0.128
PRKAG1,0,14,0.028
PRKAG2,0,139,0.278
PRKAG3,0,51,0.102
PRKAR1B,0,144,0.288
PRKD1,0,54,0.108
PRKAR2A,0,45,0.09
PRKAR2B,0,135,0.27
PRKCA,0,103,0.206
PRKCB,0,71,0.142
PRKCD,0,51,0.102
PRKCDBP,0,38,0.076
PRKCE,0,59,0.118
PRKCG,0,78,0.156
PRKCH,0,27,0.054
PRKCI,0,60,0.12
PRKCQ,0,35,0.07
PRKCSH,0,85,0.17
PRKCZ,0,46,0.092
PPM1L,0,160,0.32
PROCR,0,110,0.22
PRRG3,0,86,0.172
PRR26,0,28,0.056
PRPSAP1,0,34,0.068
PRPSAP2,0,19,0.038
PRR11,0,134,0.268
PRR12,0,50,0.1
PRR13,0,69,0.138
PRR14,0,106,0.212
PRR14L,0,15,0.03
PRR15,0,85,0.17
PRR15L,0,44,0.088
PRR16,0,57,0.114
PRR18,0,126,0.252
PRR19,0,41,0.082
PRR22,0,85,0.17
PRR3,0,92,0.184
PRPS1L1,0,86,0.172
PRR30,0,127,0.254
PRR32,0,161,0.322
PRR34,0,70,0.14
PRR35,0,34,0.068
PRR5,0,51,0.102
PRR5L,0,68,0.136
PRR7,0,89,0.178
PRRC1,0,19,0.038
PRRC2A,0,58,0.116
PRRC2B,0,31,0.062
PRRC2C,0,50,0.1
PRRG1,0,51,0.102
PRRG2,0,24,0.048
PRPS2,0,20,0.04
PRPS1,0,30,0.06
PRODH2,0,56,0.112
PROSER3,0,48,0.096
PROK1,0,39,0.078
PROK2,0,100,0.2
PROKR2,0,105,0.21
PROL1,0,89,0.178
PROM1,0,110,0.22
PROM2,0,5,0.01
PROP1,0,112,0.224
PRORSD1P,0,95,0.19
PRORY,0,68,0.136
PROS1,0,206,0.412
PROSC,0,34,0.068
PROSER1,0,49,0.098
PROSER2,0,49,0.098
PROX1,0,94,0.188
PRPH2,0,110,0.22
PROX2,0,114,0.228
PROZ,0,62,0.124
PRPF18,0,36,0.072
PRPF19,0,57,0.114
PRPF3,0,35,0.07
PRPF31,0,41,0.082
PRPF38A,0,28,0.056
PRPF39,0,7,0.014
PRPF4,0,17,0.034
PRPF40B,0,99,0.198
PRPF6,0,72,0.144
PRPF8,0,67,0.134
PRPH,0,39,0.078
PPM1M,0,98,0.196
POU3F4,0,150,0.3
PPM1K,0,15,0.03
PKP4,0,111,0.222
PKIA,0,47,0.094
PKIB,0,190,0.38
PKIG,0,165,0.33
PKLR,0,127,0.254
PKM,0,103,0.206
PKMYT1,0,60,0.12
PKN1,0,34,0.068
PKN2,0,39,0.078
PKN3,0,80,0.16
PKNOX1,0,60,0.12
PKNOX2,0,34,0.068
PKP1,0,7,0.014
PKP2,0,77,0.154
PKP3,0,81,0.162
PLA1A,0,62,0.124
PKHD1L1,0,157,0.314
PLA2G12A,0,48,0.096
PLA2G12B,0,60,0.12
PLA2G15,0,75,0.15
PLA2G16,0,102,0.204
PLA2G1B,0,50,0.1
PLA2G2A,0,60,0.12
PLA2G2D,0,59,0.118
PLA2G2E,0,40,0.08
PLA2G2F,0,32,0.064
PLA2G3,0,57,0.114
PLA2G4A,0,50,0.1
PLA2G4C,0,186,0.372
PLA2G4D,0,53,0.106
PLA2G4F,0,85,0.17
PKI55,0,137,0.274
PKHD1,0,38,0.076
PPM1J,0,96,0.192
PITPNM3,0,42,0.084
PIP4K2C,0,44,0.088
PIP5K1A,0,86,0.172
PIP5K1B,0,82,0.164
PIP5K1C,0,68,0.136
PIP5KL1,0,118,0.236
PIPOX,0,16,0.032
PIR,0,74,0.148
PIRT,0,51,0.102
PITHD1,0,131,0.262
PITPNA,0,39,0.078
PITPNB,0,25,0.05
PITPNC1,0,7,0.014
PITPNM1,0,68,0.136
PITPNM2,0,113,0.226
PITRM1,0,33,0.066
PKDREJ,0,61,0.122
PITX1,0,166,0.332
PITX2,0,37,0.074
PITX3,0,80,0.16
PIWIL1,0,30,0.06
PIWIL2,0,128,0.256
PIWIL4,0,138,0.276
PJA1,0,68,0.136
PJA2,0,42,0.084
PKD1L1,0,14,0.028
PKD1L2,0,27,0.054
PKD1P1,0,118,0.236
PKD2L1,0,28,0.056
PKD2L2,0,187,0.374
PKDCC,0,64,0.128
PLA2G5,0,26,0.052
PLA2G6,0,94,0.188
PLA2G7,0,129,0.258
PLEKHA6,0,64,0.128
PLD1,0,155,0.31
PLD2,0,91,0.182
PLD3,0,111,0.222
PLD4,0,52,0.104
PLD5,0,64,0.128
PLD6,0,71,0.142
PLEC,0,95,0.19
PLEK,0,44,0.088
PLEK2,0,121,0.242
PLEKHA1,0,23,0.046
PLEKHA2,0,12,0.024
PLEKHA3,0,34,0.068
PLEKHA4,0,81,0.162
PLEKHA5,0,172,0.344
PLEKHA7,0,90,0.18
PLA2R1,0,107,0.214
PLEKHA8,0,131,0.262
PLEKHA8P1,0,110,0.22
PLEKHB1,0,93,0.186
PLEKHB2,0,20,0.04
PLEKHF1,0,163,0.326
